# Zeit t [s]   Ort x [m]   Ort z [m]
0  0  3
0.01  0.103598  3.09368
0.02  0.207195  3.18637
0.03  0.310793  3.27809
0.04  0.414391  3.36882
0.05  0.517988  3.45858
0.06  0.621586  3.54735
0.07  0.725184  3.63514
0.08  0.828781  3.72195
0.09  0.932379  3.80778
0.1  1.03598  3.89263
0.11  1.13957  3.97649
0.12  1.24317  4.05938
0.13  1.34677  4.14128
0.14  1.45037  4.22221
0.15  1.55397  4.30215
0.16  1.65756  4.38111
0.17  1.76116  4.45909
0.18  1.86476  4.53609
0.19  1.96836  4.61211
0.2  2.07195  4.68715
0.21  2.17555  4.76121
0.22  2.27915  4.83428
0.23  2.38275  4.90638
0.24  2.48634  4.97749
0.25  2.58994  5.04763
0.26  2.69354  5.11678
0.27  2.79714  5.18495
0.28  2.90073  5.25214
0.29  3.00433  5.31835
0.3  3.10793  5.38358
0.31  3.21153  5.44782
0.32  3.31513  5.51109
0.33  3.41872  5.57337
0.34  3.52232  5.63468
0.35  3.62592  5.695
0.36  3.72952  5.75434
0.37  3.83311  5.8127
0.38  3.93671  5.87008
0.39  4.04031  5.92648
0.4  4.14391  5.9819
0.41  4.2475  6.03634
0.42  4.3511  6.08979
0.43  4.4547  6.14227
0.44  4.5583  6.19376
0.45  4.6619  6.24428
0.46  4.76549  6.29381
0.47  4.86909  6.34236
0.48  4.97269  6.38993
0.49  5.07629  6.43652
0.5  5.17988  6.48213
0.51  5.28348  6.52675
0.52  5.38708  6.5704
0.53  5.49068  6.61306
0.54  5.59427  6.65475
0.55  5.69787  6.69545
0.56  5.80147  6.73517
0.57  5.90507  6.77391
0.58  6.00867  6.81167
0.59  6.11226  6.84845
0.6  6.21586  6.88425
0.61  6.31946  6.91907
0.62  6.42306  6.9529
0.63  6.52665  6.98576
0.64  6.63025  7.01763
0.65  6.73385  7.04853
0.66  6.83745  7.07844
0.67  6.94104  7.10737
0.68  7.04464  7.13532
0.69  7.14824  7.16229
0.7  7.25184  7.18828
0.71  7.35543  7.21328
0.72  7.45903  7.23731
0.73  7.56263  7.26035
0.74  7.66623  7.28242
0.75  7.76983  7.3035
0.76  7.87342  7.3236
0.77  7.97702  7.34272
0.78  8.08062  7.36086
0.79  8.18422  7.37802
0.8  8.28781  7.3942
0.81  8.39141  7.4094
0.82  8.49501  7.42361
0.83  8.59861  7.43685
0.84  8.7022  7.4491
0.85  8.8058  7.46038
0.86  8.9094  7.47067
0.87  9.013  7.47998
0.88  9.1166  7.48831
0.89  9.22019  7.49566
0.9  9.32379  7.50203
0.91  9.42739  7.50741
0.92  9.53099  7.51182
0.93  9.63458  7.51524
0.94  9.73818  7.51769
0.95  9.84178  7.51915
0.96  9.94538  7.51963
0.97  10.049  7.51914
0.98  10.1526  7.51766
0.99  10.2562  7.51519
1  10.3598  7.51175
1.01  10.4634  7.50733
1.02  10.567  7.50193
1.03  10.6706  7.49554
1.04  10.7742  7.48817
1.05  10.8778  7.47983
1.06  10.9814  7.4705
1.07  11.085  7.46019
1.08  11.1885  7.4489
1.09  11.2921  7.43663
1.1  11.3957  7.42338
1.11  11.4993  7.40914
1.12  11.6029  7.39393
1.13  11.7065  7.37774
1.14  11.8101  7.36056
1.15  11.9137  7.3424
1.16  12.0173  7.32326
1.17  12.1209  7.30315
1.18  12.2245  7.28205
1.19  12.3281  7.25996
1.2  12.4317  7.2369
1.21  12.5353  7.21286
1.22  12.6389  7.18784
1.23  12.7425  7.16183
1.24  12.8461  7.13484
1.25  12.9497  7.10688
1.26  13.0533  7.07793
1.27  13.1569  7.048
1.28  13.2605  7.01709
1.29  13.3641  6.9852
1.3  13.4677  6.95233
1.31  13.5713  6.91847
1.32  13.6749  6.88364
1.33  13.7785  6.84783
1.34  13.8821  6.81103
1.35  13.9857  6.77325
1.36  14.0893  6.73449
1.37  14.1929  6.69476
1.38  14.2965  6.65404
1.39  14.4001  6.61233
1.4  14.5037  6.56965
1.41  14.6073  6.52599
1.42  14.7109  6.48135
1.43  14.8145  6.43572
1.44  14.9181  6.38912
1.45  15.0217  6.34153
1.46  15.1253  6.29296
1.47  15.2289  6.24341
1.48  15.3325  6.19288
1.49  15.4361  6.14137
1.5  15.5397  6.08888
1.51  15.6432  6.03541
1.52  15.7468  5.98095
1.53  15.8504  5.92552
1.54  15.954  5.8691
1.55  16.0576  5.8117
1.56  16.1612  5.75333
1.57  16.2648  5.69397
1.58  16.3684  5.63363
1.59  16.472  5.57231
1.6  16.5756  5.51
1.61  16.6792  5.44672
1.62  16.7828  5.38246
1.63  16.8864  5.31721
1.64  16.99  5.25099
1.65  17.0936  5.18378
1.66  17.1972  5.11559
1.67  17.3008  5.04642
1.68  17.4044  4.97627
1.69  17.508  4.90514
1.7  17.6116  4.83303
1.71  17.7152  4.75994
1.72  17.8188  4.68586
1.73  17.9224  4.61081
1.74  18.026  4.53477
1.75  18.1296  4.45775
1.76  18.2332  4.37976
1.77  18.3368  4.30078
1.78  18.4404  4.22082
1.79  18.544  4.13988
1.8  18.6476  4.05795
1.81  18.7512  3.97505
1.82  18.8548  3.89117
1.83  18.9584  3.8063
1.84  19.062  3.72046
1.85  19.1656  3.63363
1.86  19.2692  3.54582
1.87  19.3728  3.45703
1.88  19.4764  3.36726
1.89  19.58  3.27651
1.9  19.6836  3.18478
1.91  19.7872  3.09207
1.92  19.8908  2.99837
1.93  19.9944  2.9037
1.94  20.0979  2.80804
1.95  20.2015  2.7114
1.96  20.3051  2.61379
1.97  20.4087  2.51519
1.98  20.5123  2.41561
1.99  20.6159  2.31505
2  20.7195  2.2135
2.01  20.8231  2.11098
2.02  20.9267  2.00748
2.03  21.0303  1.90299
2.04  21.1339  1.79753
2.05  21.2375  1.69108
2.06  21.3411  1.58365
2.07  21.4447  1.47524
2.08  21.5483  1.36585
2.09  21.6519  1.25548
2.1  21.7555  1.14413
2.11  21.8591  1.0318
2.12  21.9627  0.918482
2.13  22.0663  0.804188
2.14  22.1699  0.688912
2.15  22.2735  0.572655
2.16  22.3771  0.455417
2.17  22.4807  0.337198
2.18  22.5843  0.217998
2.19  22.6879  0.0978166
2.2  22.7915  -0.0233453
